district,province,year,pmean,pstd,tmean,tstd
Kashmore,Sindh,2030,2.9,0.8,1.7,0.04
Kashmore,Sindh,2050,0.8,0.7,2.4,0.04
Kashmore,Sindh,2070,-1.9,0.8,2.8,0.04
Kurram,Khyber Pakhtunkhwa,2030,4,1.6,1.9,0.06
Kurram,Khyber Pakhtunkhwa,2050,3.4,2.2,2.6,0.06
Kurram,Khyber Pakhtunkhwa,2070,4.2,2.5,3.1,0.07
Ghotki,Sindh,2030,4.6,0.5,1.7,0.04
Ghotki,Sindh,2050,2.9,0.6,2.3,0.05
Ghotki,Sindh,2070,1.3,1.1,2.8,0.05
Jhang,Punjab,2030,7.5,0.4,1.7,0.05
Jhang,Punjab,2050,7.4,0.5,2.4,0.05
Jhang,Punjab,2070,9.3,1.2,2.9,0.05
D.I. Khan,Khyber Pakhtunkhwa,2030,5.4,0.3,1.7,0.04
D.I. Khan,Khyber Pakhtunkhwa,2050,5.4,0.8,2.4,0.04
D.I. Khan,Khyber Pakhtunkhwa,2070,7.5,1.2,2.9,0.03
Dadu,Sindh,2030,4.3,0.6,1.7,0.06
Dadu,Sindh,2050,2.8,1.2,2.3,0.07
Dadu,Sindh,2070,3.3,1.4,2.7,0.07
S. Waziristan,Khyber Pakhtunkhwa,2030,2.3,1.4,1.8,0.05
S. Waziristan,Khyber Pakhtunkhwa,2050,1.5,1.8,2.5,0.05
S. Waziristan,Khyber Pakhtunkhwa,2070,2.5,2.1,2.9,0.05
Rajanpur,Punjab,2030,5.3,1,1.7,0.05
Rajanpur,Punjab,2050,3.5,1.3,2.4,0.04
Rajanpur,Punjab,2070,1.1,1.5,2.9,0.05
Orakzai,Khyber Pakhtunkhwa,2030,4.7,0.6,1.8,0.05
Orakzai,Khyber Pakhtunkhwa,2050,4,0.9,2.5,0.05
Orakzai,Khyber Pakhtunkhwa,2070,5.6,1.1,3,0.04
N. Waziristan,Khyber Pakhtunkhwa,2030,3.2,1.6,1.8,0.05
N. Waziristan,Khyber Pakhtunkhwa,2050,2.7,2.1,2.5,0.05
N. Waziristan,Khyber Pakhtunkhwa,2070,3.7,2.3,3,0.04
Tharparkar,Sindh,2030,7.7,1.1,1.5,0.1
Tharparkar,Sindh,2050,7.8,1.1,2,0.1
Tharparkar,Sindh,2070,11.4,1.6,2.4,0.1
Chitral,Khyber Pakhtunkhwa,2030,2,1.4,2.3,0.1
Chitral,Khyber Pakhtunkhwa,2050,0.7,1.8,3.1,0.1
Chitral,Khyber Pakhtunkhwa,2070,1,2.2,3.5,0.1
Muzaffargarh,Punjab,2030,5.3,0.5,1.7,0.03
Muzaffargarh,Punjab,2050,4.3,0.5,2.4,0.04
Muzaffargarh,Punjab,2070,2.3,1.1,2.9,0.05
